Name,R,A,S,Nx,Ny,Nz
F6,63.47725982940053,94.44362573135916,34.042539170895694,-0.8971415069357044,-0.3323066962902283,-0.26674430005410044
F7,-70.84151446758203,101.94058781008897,7.307575115704081,0.883367994334873,-0.45865290661101277,-0.043036440518366255
F8,67.00963190682963,83.63203264854138,8.869685350799276,-0.9967069462824228,-0.05855582482542446,-0.05124346628701911
P10,49.944124037072235,-2.4829485238853786,-28.327277922239368,-0.6895666026345942,0.5789782573949872,0.4322441500737762
CP5,-82.45283056742446,26.10691679944099,31.53013098686002,0.985695056752883,0.09671745993547311,-0.1248399516131759
Cz,-6.499281406901379,55.32184005700453,93.5230867856857,-0.02328252834411564,-0.07581616941578274,-0.9953613007254856
AFz,1.6820193192701818,142.0872256490762,49.999460951532704,-0.05029965074086875,-0.8280424448849507,-0.5573847988468962
CP1,-44.38845725874823,19.81627999781163,82.28287015780917,0.4075332486999814,0.2640261056305834,-0.8725209743539335
CP2,23.135459698463357,12.508358042398527,82.69625199207628,-0.3869689873399933,0.3124929629278988,-0.8665009515959744
TP8,63.5892570539471,11.88043828973196,2.20439295642225,-0.9153531157896148,0.3824816587341147,0.09372470144381494
CP4,49.58093336679738,11.039944025779688,63.40031269383728,-0.6356396294919893,0.3856318579555271,-0.6664417107125294
AF3,-40.11284795483515,138.56228794568807,32.395175980221204,0.5861929486028966,-0.7726883913555156,-0.23538065827671423
CP6,63.09402742844098,10.325976286202444,34.71231232964186,-0.9454878141991551,0.30747342286279916,-0.08734299724890007
